,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,UTILITY_AVAIL,STREET,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,BUILDTYPE_Commercial,BUILDTYPE_House,BUILDTYPE_Others,MZZONE_A,MZZONE_C,MZZONE_I,MZZONE_RH,MZZONE_RL,MZZONE_RM,YEAR_BUILD,AGE_BUILD,Actual_price,Predicted_price,YEAR_SALE,YEARS_PASSED,Today_price
119,1,1470,99,2,2,4,3,0,3,1,3.1,3.0,3.1,3.07,0,0,1,0,0,0,1,0,0,1986,25,7682662.000000004,7580229.0,2011,11,12964764
4485,3,947,37,1,1,3,3,1,2,3,3.0,4.7,4.2,4.04,1,0,0,0,0,0,0,0,1,2007,5,14716170.999999985,14468852.0,2012,10,23568235
5391,3,927,185,1,1,3,3,0,2,3,3.2,2.0,2.6,2.54,0,0,1,0,0,0,1,0,0,1993,16,8745595.000000002,8619665.0,2009,13,16253663
2497,1,1382,115,2,2,4,5,1,3,2,4.2,4.6,4.7,4.52,1,0,0,0,0,0,0,0,1,1961,49,13321766.00000002,12998077.0,2010,12,23342678
2028,4,1744,126,2,1,4,2,1,1,1,2.6,4.2,2.7,3.35,0,0,1,1,0,0,0,0,0,1964,44,7976987.0000000065,8218865.5,2008,14,16272791
6740,6,1793,146,1,1,4,1,0,3,3,4.3,3.3,4.8,4.25,0,0,1,0,0,0,0,1,0,1980,34,13926538.999999985,13932405.0,2014,8,20584507
6345,7,1735,116,1,1,4,5,1,3,3,2.9,3.8,4.6,3.89,1,0,0,0,0,0,0,0,1,1979,30,22837255.000000034,22478462.0,2009,13,42386492
863,6,1996,46,2,1,5,4,0,3,2,3.2,3.3,4.4,3.705,1,0,0,0,0,0,0,0,1,2003,5,23717970.000000004,23524942.0,2008,14,46577776
5249,4,1531,134,2,1,4,3,0,3,3,4.0,3.8,2.6,3.49,0,1,0,0,0,0,0,1,0,1952,55,9070911.999999985,9065712.0,2007,15,18846964
5571,4,1538,124,2,1,4,2,0,3,1,2.9,4.3,4.8,4.1,1,0,0,0,1,0,0,0,0,1989,22,11712379.0,11839670.0,2011,11,20249853
1576,7,1925,35,2,1,5,1,1,1,2,3.1,4.0,3.0,3.28,0,1,0,0,0,0,1,0,0,1981,27,13208562.00000001,13353327.0,2008,14,26438674
3942,7,1706,29,1,1,4,4,1,3,2,4.2,4.8,3.1,3.855,0,0,1,0,0,0,1,0,0,1969,42,13697233.999999981,13636737.0,2011,11,23323448
5238,2,1160,27,1,1,3,4,1,2,1,2.2,4.3,2.1,2.57,0,1,0,0,0,0,0,0,1,1987,24,10657632.000000017,10757282.0,2011,11,18398602
2702,3,902,31,1,1,3,5,0,3,3,3.3,2.7,2.2,2.73,0,1,0,0,0,0,1,0,0,1989,18,8233403.000000002,8059183.0,2007,15,16754462
758,3,1288,190,2,1,4,1,1,3,3,2.1,3.4,2.7,2.8,1,0,0,0,0,0,0,0,1,1980,30,16315431.999999978,16275309.0,2010,12,29228116
5038,4,1976,39,3,2,5,4,0,2,2,4.6,3.7,2.2,3.48,0,1,0,1,0,0,0,0,0,1992,18,8697789.999999994,8757994.0,2010,12,15728098
4389,1,919,188,1,1,3,5,1,3,3,2.4,2.5,4.0,3.07,0,1,0,0,0,0,1,0,0,1997,14,8389140.000000004,7948839.0,2011,11,13595212
6002,5,2497,197,4,2,6,4,1,2,3,2.0,2.4,4.7,3.2,0,0,1,0,0,0,0,1,0,1987,22,15114904.000000015,14626428.0,2009,13,27580311
847,3,975,147,1,1,3,3,0,2,3,4.9,2.9,4.1,3.86,0,0,1,0,0,0,1,0,0,1971,36,8763037.999999994,8558575.0,2007,15,17792662
2621,3,832,62,1,1,3,3,1,2,2,2.2,2.3,3.5,2.63,1,0,0,0,0,0,0,0,1,1995,14,12801617.999999978,12868225.0,2009,13,24264957
6795,1,895,18,1,1,3,5,1,3,1,4.7,4.6,4.4,4.55,0,0,1,0,0,0,0,0,1,1965,46,8131857.000000006,8138799.5,2011,11,13920109
3358,7,1580,35,1,1,4,5,0,3,2,2.9,3.9,5.0,4.095,1,0,0,0,0,0,0,0,1,2005,8,20135220.99999998,20421406.0,2013,9,31680303
5240,1,1058,132,1,1,3,3,0,3,3,4.5,4.6,2.3,3.65,0,1,0,0,0,0,0,1,0,1988,23,7738762.999999995,7648845.0,2011,11,13082120
1342,3,1102,89,1,1,3,4,1,3,3,2.7,3.6,2.0,2.85,1,0,0,0,0,0,0,0,1,1980,29,15207475.000000024,15131649.0,2009,13,28532980
1892,7,1585,199,1,1,4,3,0,1,2,2.5,3.6,2.1,2.595,1,0,0,0,0,0,0,1,0,1972,36,18451535.000000026,18229534.0,2008,14,36093230
3035,5,1997,28,3,2,5,4,0,3,2,4.2,4.6,3.1,3.88,1,0,0,0,0,0,0,0,1,1987,22,17490219.00000001,17469020.0,2009,13,32940442
6869,3,1049,71,1,1,3,1,1,1,3,2.5,4.9,3.3,3.7,0,0,1,0,0,0,0,0,1,2005,9,11244066.000000002,11344111.0,2014,8,16760418
1225,3,775,34,1,1,2,4,0,3,3,2.2,4.7,2.2,3.2,0,1,0,0,0,0,1,0,0,1971,39,6920206.000000004,7167979.0,2010,12,12872660
4282,4,1989,133,3,2,5,5,0,3,3,3.2,3.0,4.3,3.44,0,0,1,0,0,0,1,0,0,1955,53,11492406.000000011,11370756.0,2008,14,22513319
234,1,1003,196,1,1,3,3,1,3,3,2.5,4.3,4.4,3.8,1,0,0,0,0,0,1,0,0,1990,20,10624769.999999996,10944956.0,2010,12,19655568
3618,5,2365,37,4,2,6,1,0,3,3,3.5,4.7,3.0,3.66,1,0,0,0,0,0,0,0,1,1986,24,19853696.000000022,19621402.0,2010,12,35237218
691,1,571,122,1,1,2,5,0,3,2,4.3,4.7,3.0,3.9,1,0,0,0,0,0,0,0,1,1989,22,8294475.000000004,7983291.5,2011,11,13654137
1584,7,1600,153,1,1,4,1,0,1,3,2.4,4.5,2.1,2.79,0,1,0,0,0,0,0,0,1,2003,11,12823776.000000011,12601629.0,2014,8,18618345
2429,3,826,137,1,1,3,1,1,2,1,3.1,2.6,3.4,2.99,0,0,1,0,0,0,0,1,0,1977,37,8125959.999999993,8356609.5,2014,8,12346518
4475,1,1367,179,2,2,4,1,0,1,1,2.0,2.8,4.5,3.24,0,1,0,0,0,0,0,0,1,1971,39,7443692.999999994,7395938.5,2010,12,13282042
4751,3,791,124,1,1,2,3,1,2,2,3.9,4.4,4.7,4.34,1,0,0,0,0,0,1,0,0,1977,35,10995927.000000017,10898710.0,2012,10,17752850
1028,2,847,191,1,1,3,1,0,2,1,2.8,2.1,4.8,3.66,0,1,0,0,1,0,0,0,0,1984,23,5427634.999999999,5881325.0,2007,15,12226852
6898,1,751,169,1,1,2,5,1,3,2,4.4,3.7,3.0,3.63,0,1,0,0,0,0,1,0,0,1970,41,6614876.999999994,6760770.0,2011,11,11563211
4326,4,1644,187,2,1,4,4,1,3,2,2.6,4.3,4.5,3.94,0,1,0,0,0,0,0,0,1,1972,34,11038888.999999985,11086483.0,2006,16,24200402
5360,3,1067,4,1,1,3,1,1,1,3,2.8,5.0,2.6,3.62,0,0,1,0,0,0,0,1,0,1977,34,10245823.999999998,10466943.0,2011,11,17902024
2717,5,2381,47,4,2,6,4,0,3,2,3.5,2.3,4.4,3.5,0,0,1,0,0,0,1,0,0,2002,9,12641560.000000006,12598432.0,2011,11,21547594
1897,3,898,130,1,1,3,3,1,3,3,3.4,3.8,3.0,3.44,1,0,0,0,0,0,0,0,1,1973,40,13294004.000000017,13396849.0,2013,9,20782909
3227,1,888,32,1,1,2,1,0,3,2,2.1,3.8,3.8,3.29,0,0,1,0,1,0,0,0,0,1999,12,4928791.000000003,4758960.5,2011,11,8139437
5911,4,1727,5,2,1,4,5,0,3,3,3.5,2.8,4.6,3.52,1,0,0,0,1,0,0,0,0,1957,50,13998859.000000011,13869805.0,2007,15,28834328
6089,4,1880,109,3,2,5,3,1,1,2,4.6,2.0,4.0,3.25,1,0,0,0,0,1,0,0,0,1977,31,15918197.0,15873113.0,2008,14,31427678
5261,1,1241,50,1,1,3,1,1,1,2,2.0,4.8,3.4,3.4,0,0,1,0,0,0,1,0,0,1970,41,7873201.000000004,7830142.5,2011,11,13392200
2967,4,1903,2,3,2,5,4,1,3,3,3.1,2.2,2.2,2.43,1,0,0,0,1,0,0,0,0,1979,27,16169236.000000004,16265689.0,2006,16,35505959
5885,4,1574,30,2,1,4,3,1,2,2,2.2,2.4,3.8,2.77,1,0,0,0,0,0,1,0,0,1957,48,14314641.999999983,14084596.0,2005,17,32282152
6979,2,786,112,1,1,2,2,1,3,3,3.9,2.8,3.3,3.38,0,0,1,0,0,0,1,0,0,1974,35,8954831.999999998,8805169.0,2009,13,16603459
1155,3,1027,4,1,1,3,4,1,1,1,4.9,4.9,2.8,4.27,0,0,1,0,0,0,0,1,0,1999,14,9608312.999999987,9624721.0,2013,9,14931101
2176,2,934,147,1,1,3,4,1,2,3,4.2,2.1,2.8,3.08,1,0,0,0,1,0,0,0,0,2001,8,12417767.000000017,12311426.0,2009,13,23215029
6836,2,1110,95,1,1,3,4,1,1,2,3.0,3.6,4.7,3.97,1,0,0,0,0,0,0,0,1,1988,21,15680705.999999996,15310425.0,2009,13,28870089
4668,1,1538,90,2,2,4,1,1,1,3,3.8,2.2,4.8,3.72,1,0,0,0,0,0,1,0,0,1987,24,13152213.999999978,12807866.0,2011,11,21905797
6772,7,1973,80,2,1,5,4,1,2,1,2.9,4.0,3.4,3.4,0,1,0,0,0,0,0,1,0,1984,28,14199568.99999998,14130690.0,2012,10,23017405
4691,7,1939,116,2,1,5,1,1,3,3,4.2,2.1,2.8,3.045,1,0,0,0,0,0,1,0,0,1965,42,22113894.00000003,22073940.0,2007,15,45890135
2890,5,2419,180,4,2,6,5,1,3,2,2.7,3.1,3.7,3.22,0,0,1,0,0,0,0,0,1,1987,21,15433241.000000022,15086980.0,2008,14,29871188
2868,3,1005,105,1,1,3,3,1,3,2,4.0,2.3,2.6,2.9,1,0,0,0,0,0,0,1,0,1978,35,13100365.999999998,13161357.0,2013,9,20417584
5665,3,838,53,1,1,3,1,1,3,2,2.3,5.0,2.9,3.56,0,1,0,0,0,0,1,0,0,2002,6,8187919.000000002,8293460.0,2008,14,16420483
3957,1,579,7,1,1,2,4,0,2,3,3.9,4.2,3.8,3.95,0,0,1,0,0,1,0,0,0,1975,36,5349681.0,5440509.0,2011,11,9305116
2285,3,738,8,1,1,2,5,1,3,1,3.8,4.5,2.3,3.63,1,0,0,0,0,0,0,1,0,2000,12,11049999.999999987,11149209.0,2012,10,18160886
6335,1,980,148,1,1,3,3,0,3,2,3.2,4.2,4.3,3.94,0,0,1,0,0,0,1,0,0,1974,36,6524647.999999999,6416437.5,2010,12,11522999
5214,2,922,59,1,1,3,1,1,3,1,2.7,3.7,4.9,4.0,1,0,0,0,1,0,0,0,0,1978,31,10298160.000000013,10583559.0,2009,13,19956878
1167,3,918,99,1,1,3,4,0,1,2,4.8,4.3,3.6,4.24,0,0,1,0,0,0,0,0,1,1982,28,9130468.999999985,9046608.0,2010,12,16246408
5222,5,2035,94,3,2,5,5,0,2,2,4.3,2.5,3.8,3.56,0,0,1,0,0,0,0,1,0,2002,8,12590051.999999993,13045814.0,2010,12,23428407
3137,6,1734,119,1,1,4,2,1,3,3,2.9,2.4,4.2,3.295,0,0,1,0,0,0,0,0,1,2009,5,16015763.999999972,15604804.0,2014,8,23055402
6762,5,1974,199,3,2,5,1,1,3,2,3.4,2.5,3.8,3.29,1,0,0,0,0,0,1,0,0,1999,9,17101360.000000015,17353088.0,2008,14,34357927
4304,4,1725,61,2,1,4,2,1,1,1,4.2,2.6,2.7,3.03,0,0,1,0,0,0,0,0,1,1990,15,11544592.000000019,11393920.0,2005,17,26115073
3152,1,1101,23,1,1,3,4,1,3,3,4.9,3.6,3.2,3.83,0,0,1,1,0,0,0,0,0,1994,15,6997890.000000006,6974927.5,2009,13,13152266
5035,6,1542,23,1,1,4,5,0,2,3,2.6,2.6,2.5,2.56,1,0,0,0,0,0,1,0,0,1974,38,18395302.00000002,18454376.0,2012,10,30060233
6554,3,862,83,1,1,3,5,0,1,1,3.4,2.6,2.4,2.78,0,1,0,0,0,0,0,0,1,2002,5,8334144.000000007,8250907.0,2007,15,17153043
1877,1,943,198,1,1,3,4,1,3,3,2.7,3.6,4.4,3.65,0,0,1,0,0,1,0,0,0,1979,32,7450129.0,7068967.5,2011,11,12090333
308,1,1567,2,2,2,4,2,0,2,3,4.2,2.9,4.5,3.93,0,0,1,0,1,0,0,0,0,1992,17,8166249.999999994,8270760.0,2009,13,15595751
874,4,1746,162,2,1,4,4,1,2,1,5.0,4.6,4.0,4.52,1,0,0,0,0,0,0,1,0,1959,48,15692851.999999998,15714270.0,2007,15,32668838
3798,3,792,131,1,1,2,4,1,3,2,4.7,2.5,4.0,3.61,0,0,1,0,0,0,1,0,0,2002,8,8652768.999999994,8770640.0,2010,12,15750809
444,5,1990,149,3,2,5,5,0,3,3,5.0,2.2,4.5,3.96,0,1,0,0,0,0,1,0,0,2002,6,11120813.000000017,11652979.0,2008,14,23072101
5062,4,1662,99,2,1,4,4,0,1,1,4.7,5.0,3.4,4.45,0,1,0,0,1,0,0,0,0,1983,23,7258320.999999996,7341918.0,2006,16,16026486
729,4,1578,68,2,1,4,2,1,1,1,4.5,3.2,3.4,3.59,0,0,1,0,0,0,0,1,0,1982,29,10096351.000000007,10443451.0,2011,11,17861845
823,1,979,176,1,1,3,5,0,1,2,2.3,4.1,4.6,3.76,0,0,1,0,0,0,0,1,0,1993,16,7769300.000000002,7695188.5,2009,13,14510425
4195,2,679,120,1,1,2,3,0,2,1,2.5,4.4,4.5,3.88,0,0,1,0,1,0,0,0,0,1982,27,5363492.000000004,5422343.5,2009,13,10224637
1217,5,2232,172,4,2,6,4,1,3,3,3.3,2.1,3.6,3.06,0,0,1,0,0,0,0,0,1,1999,11,14890567.000000004,15026929.0,2010,12,26986205
1125,1,1420,30,2,2,4,3,0,3,3,5.0,3.7,2.2,3.49,0,0,1,0,0,0,0,1,0,2005,6,9699576.000000013,9687488.0,2011,11,16568892
5201,3,1129,198,1,1,3,4,1,3,3,2.8,2.1,4.8,3.12,0,1,0,0,0,0,0,1,0,1989,17,10519569.0,10706599.0,2006,16,23371162
3443,5,1724,107,2,1,4,4,1,3,2,4.5,4.7,4.0,4.36,1,0,0,0,0,0,1,0,0,1996,14,15441280.999999993,15569663.0,2010,12,27960877
161,4,1824,187,3,2,5,4,0,3,2,3.9,2.3,4.1,3.5032537884152344,0,1,0,0,0,1,0,0,0,1976,33,8899571.999999994,9242878.0,2009,13,17428824
4002,1,1047,63,1,1,3,5,0,3,2,4.3,4.7,2.8,3.82,1,0,0,0,0,1,0,0,0,1997,14,9044569.999999996,9328902.0,2011,11,15955588
3231,7,1777,183,1,1,4,4,1,1,2,3.3,2.7,4.6,3.735,0,1,0,0,0,0,0,0,1,1972,42,14013949.999999998,14186916.0,2014,8,20960536
2615,3,876,93,1,1,3,1,1,2,2,3.8,2.0,3.7,3.05,0,1,0,0,0,0,1,0,0,1970,40,7762497.000000006,7888214.5,2010,12,14166099
7057,5,1934,165,3,2,5,3,1,3,2,3.1,4.0,3.5,3.53,0,0,1,0,0,0,1,0,0,1996,13,11814879.999999993,12117620.0,2009,13,22849579
6163,4,1538,157,2,1,4,2,0,3,2,3.9,4.7,3.6,4.17,0,1,0,0,1,0,0,0,0,1972,34,7172948.999999999,7440948.0,2006,16,16242656
6146,3,1262,107,2,1,4,3,0,2,2,3.5,4.3,2.8,3.61,1,0,0,0,0,0,1,0,0,1974,38,13769716.999999983,13755414.0,2012,10,22406119
4124,3,1188,111,1,1,3,3,0,3,2,4.5,4.5,4.4,4.47,1,0,0,0,0,0,1,0,0,2000,14,13251189.999999983,13096449.0,2014,8,19349419
6265,7,1977,155,2,1,5,3,0,1,1,2.9,3.0,2.6,2.79,0,1,0,0,0,0,0,1,0,1976,33,12655719.999999981,12573610.0,2009,13,23709416
5273,5,2414,54,4,2,6,4,1,2,3,4.1,4.8,2.8,3.79,1,0,0,0,0,0,0,1,0,2000,9,21320370.999999978,21096352.0,2009,13,39780318
3140,4,1694,68,2,1,4,1,0,2,3,3.2,3.6,3.3,3.41,0,0,1,0,0,0,0,1,0,1985,22,11053196.000000011,10741474.0,2007,15,22330752
2054,6,1760,17,1,1,4,2,0,3,3,4.8,2.2,2.7,3.31,0,1,0,0,0,0,0,1,0,1987,21,12813169.999999981,12794608.0,2008,14,25332448
5366,3,1181,14,1,1,3,3,0,2,1,3.5,3.5,2.9,3.32,1,0,0,0,0,0,1,0,0,1984,26,12560574.999999983,12387579.0,2010,12,22246312
413,3,1296,65,2,1,4,1,1,3,3,4.4,3.6,2.5,3.51,0,0,1,0,0,0,1,0,0,1999,14,11181401.999999985,10747274.0,2013,9,16672549
6840,1,1553,45,2,2,4,2,1,3,1,5.0,4.0,5.0,4.7,1,0,0,0,0,1,0,0,0,1986,25,11738722.000000002,11742000.0,2011,11,20082804
4815,2,825,75,1,1,3,5,1,3,3,3.8,3.0,3.3,3.39,1,0,0,0,1,0,0,0,0,1969,40,11121650.999999981,11469056.0,2009,13,21626615
407,3,894,89,1,1,3,3,0,3,1,2.9,4.6,2.6,3.49,1,0,0,0,0,0,0,0,1,1984,28,11317696.000000013,11447529.0,2012,10,18646818
2134,4,1641,2,2,1,4,1,1,3,3,2.4,2.4,3.5,2.73,1,0,0,0,0,0,0,0,1,2001,9,16799116.999999978,16738797.0,2010,12,30060474
5864,6,1716,157,1,1,4,1,0,2,3,4.4,4.9,2.9,3.925,1,0,0,0,0,0,1,0,0,2004,5,19878998.000000034,19495312.0,2009,13,36761318
5370,4,1520,6,2,1,4,3,1,3,2,2.5,3.7,3.4,3.31,1,0,0,1,0,0,0,0,0,1980,29,12371332.0,12688770.0,2009,13,23926568
6523,3,901,174,1,1,3,4,0,3,3,2.8,2.7,4.0,3.12,0,1,0,0,0,0,0,0,1,1984,29,9044028.000000011,9057019.0,2013,9,14050409
3108,1,1112,140,1,1,3,2,0,2,3,3.7,2.1,3.2,3.02,0,1,0,1,0,0,0,0,0,1969,41,5043740.000000002,5077630.5,2010,12,9118694
6306,2,1023,67,1,1,3,5,1,3,2,3.0,2.9,2.3,2.63,0,0,1,0,0,1,0,0,0,1978,31,9292057.999999983,9400420.0,2009,13,17725893
1322,3,806,11,1,1,3,2,0,3,3,3.9,4.6,3.6,4.09,0,1,0,0,0,0,0,0,1,1996,12,8964582.99999999,9045884.0,2008,14,17910231
3132,1,1624,2,2,2,4,5,1,1,2,2.8,4.3,4.7,4.01,0,1,0,0,0,0,0,1,0,1969,42,9720731.0,9789462.0,2011,11,16743302
2578,1,1679,93,2,2,4,3,0,2,1,5.0,4.5,3.5,4.25,1,0,0,1,0,0,0,0,0,1999,12,10593754.000000019,11060778.0,2011,11,18917683
2394,4,1992,162,3,2,5,4,1,3,3,4.4,4.3,3.6,4.12,0,1,0,1,0,0,0,0,0,1998,6,10532381.99999999,10016682.0,2004,18,24106339
1519,3,1064,68,1,1,3,3,1,2,1,3.5,3.1,2.4,3.01,1,0,0,0,0,0,0,0,1,1973,36,13678974.00000001,13431261.0,2009,13,25326645
2364,7,1941,71,2,1,5,3,1,3,3,2.2,3.9,3.1,3.03,0,0,1,0,0,0,0,0,1,1998,12,17249729.000000022,17102506.0,2010,12,30713643
6700,3,777,59,1,1,2,2,0,3,3,2.4,4.2,4.8,3.84,0,0,1,0,0,0,1,0,0,1998,14,7948891.999999994,7945156.0,2012,10,12941821
1686,3,1194,116,1,1,3,1,1,3,3,2.6,4.5,3.6,3.66,1,0,0,0,0,0,1,0,0,1976,35,14258362.999999987,13887700.0,2011,11,23752679
3305,6,1572,94,1,1,4,3,0,1,1,4.7,3.4,4.8,4.415,0,0,1,0,0,0,0,0,1,1986,23,12829421.000000011,12799148.0,2009,13,24134702
3183,5,1950,189,3,2,5,4,0,3,3,4.4,2.7,3.9,3.69,1,0,0,0,0,0,1,0,0,1988,22,16358202.999999981,16687474.0,2010,12,29968305
3534,6,1730,129,1,1,4,1,0,2,3,3.8,4.1,4.9,4.315,0,1,0,0,0,0,0,1,0,1976,34,12811188.999999983,12767743.0,2010,12,22929032
343,3,895,191,1,1,3,1,1,1,3,3.9,4.0,3.5,3.82,0,1,0,0,0,0,1,0,0,2007,5,8863854.999999994,9046108.0,2012,10,14735156
5435,4,1539,47,2,1,4,5,1,3,2,3.2,3.7,2.5,3.22,1,0,0,0,0,0,0,0,1,1965,43,15776078.000000007,16017240.0,2008,14,31713039
1930,3,886,184,1,1,3,1,0,1,2,2.9,2.7,2.6,2.73,0,0,1,0,0,0,1,0,0,1981,28,7221179.000000006,7231960.0,2009,13,13636939
5469,3,1005,21,1,1,3,2,1,2,2,3.8,2.3,2.1,2.69,0,0,1,0,0,0,0,0,1,2000,8,11031755.999999993,10882943.0,2008,14,21547482
4140,5,1636,141,2,1,4,3,1,2,2,3.2,3.3,2.0,2.75,0,1,0,0,0,0,0,1,0,1984,25,10669734.999999993,10840370.0,2009,13,20441134
2363,4,1753,42,2,1,4,4,0,3,1,2.2,4.7,3.0,3.57,0,0,1,1,0,0,0,0,0,1961,50,7246687.999999998,7161911.5,2011,11,12249299
1321,5,1829,50,3,2,5,5,0,2,2,4.9,2.8,4.6,4.15,0,0,1,0,0,0,1,0,0,1980,30,10940724.000000019,11627402.0,2010,12,20881143
4007,4,1749,177,2,1,4,4,0,3,2,2.4,2.1,3.2,2.51,0,0,1,0,0,0,0,1,0,1989,18,10799992.999999987,10695108.0,2007,15,22234361
925,3,996,92,1,1,3,2,1,3,3,3.9,3.6,2.6,3.39,0,0,1,0,0,0,0,1,0,1986,27,10116222.000000011,10219134.0,2013,9,15853230
5845,4,1892,186,3,2,5,5,0,3,3,2.4,3.7,4.9,3.74,0,1,0,0,0,0,0,1,0,1965,46,10954233.99999999,10671268.0,2011,11,18251489
5883,4,1773,87,2,1,4,3,0,1,2,2.0,4.5,2.8,3.37,0,1,0,0,1,0,0,0,0,1992,16,8240333.999999995,8912896.0,2008,14,17646924
1637,1,668,43,1,1,2,1,0,2,3,4.9,4.6,5.0,4.85,0,1,0,0,0,0,1,0,0,1961,50,5515056.000000002,5370207.0,2011,11,9184876
1230,5,2241,10,4,2,6,2,1,2,2,4.2,2.7,4.5,3.87,0,1,0,0,0,0,0,0,1,1983,25,13277294.000000013,13680504.0,2008,14,27086462
5660,6,1688,167,1,1,4,1,0,3,2,5.0,3.3,3.4,3.935,0,1,0,0,0,0,1,0,0,1970,39,11046001.000000017,10923392.0,2009,13,20597684
2441,5,1647,111,2,1,4,1,0,3,3,4.6,4.1,2.0,3.41,0,1,0,0,0,0,1,0,0,1996,16,9249366.000000004,9166979.0,2012,10,14932042
6834,3,1195,49,1,1,3,3,1,3,2,4.9,4.8,4.0,4.59,1,0,0,0,0,0,0,1,0,2008,5,15286824.999999983,14926947.0,2013,9,23156594
5721,7,1637,99,1,1,4,2,1,3,1,2.6,3.8,2.8,2.99,0,1,0,0,0,0,0,0,1,1967,44,12476628.000000019,12523062.0,2011,11,21418685
3667,4,1590,57,2,1,4,4,0,3,2,3.1,3.2,4.0,3.42,1,0,0,0,0,0,0,1,0,1955,54,13901784.000000006,13857245.0,2009,13,26129902
1624,2,1223,99,2,2,4,1,0,2,1,4.0,3.6,4.4,4.12,0,0,1,1,0,0,0,0,0,1978,30,7173348.000000003,7162717.5,2008,14,14181690
6910,2,1066,179,1,1,3,2,1,2,1,3.4,4.5,3.5,3.67,1,0,0,0,0,1,0,0,0,1968,39,12461586.99999999,11674781.0,2007,15,24271031
1936,3,1211,78,2,1,4,2,0,3,3,2.2,2.0,2.0,2.06,1,0,0,0,0,0,1,0,0,1988,22,13739121.000000006,13766306.0,2010,12,24722307
1457,3,1015,105,1,1,3,4,0,3,2,3.1,4.1,3.9,3.74,1,0,0,0,0,0,0,1,0,1976,37,12098149.000000002,12216806.0,2013,9,18952275
248,4,1776,120,2,1,4,4,1,3,2,4.9,2.4,3.4,3.5032537884152344,0,1,0,0,0,0,1,0,0,1989,21,10398726.000000019,10577626.0,2010,12,18995896
157,1,1190,37,1,1,3,2,1,3,3,4.3,4.1,3.8,4.04,0,1,0,0,0,0,1,0,0,1982,29,8437847.000000002,8489259.0,2011,11,14519513
5934,3,770,181,1,1,2,1,1,3,2,2.5,3.9,3.6,3.39,0,1,0,0,0,0,0,0,1,1998,12,8925994.0,8856736.0,2010,12,15905425
2966,4,1787,111,2,1,4,4,1,3,2,2.3,4.3,4.7,3.92,1,0,0,0,0,1,0,0,0,1981,30,15517378.000000011,15459641.0,2011,11,26441232
3512,4,1576,169,2,1,4,2,1,3,1,4.9,3.6,4.5,4.2,0,0,1,1,0,0,0,0,0,1981,24,8119396.0,8139901.5,2005,17,18656803
220,1,1244,50,1,1,3,3,1,2,3,2.5,2.1,2.6,2.42,0,0,1,0,0,1,0,0,0,1980,31,8342435.000000002,8379865.0,2011,11,14332412
1546,3,1061,141,1,1,3,5,1,3,2,3.7,3.0,2.3,3.0,0,0,1,0,0,0,0,0,1,1975,35,10862480.999999981,11003817.0,2010,12,19761274
5504,1,712,200,1,1,2,1,0,2,2,2.7,3.8,3.2,3.23,1,0,0,0,0,0,0,1,0,1990,20,8117291.9999999935,7420234.5,2010,12,13325675
1946,3,797,144,1,1,2,4,0,1,1,4.6,5.0,2.5,4.13,0,1,0,0,0,0,0,0,1,1985,23,7407135.999999997,7324301.5,2008,14,14501615
5793,3,753,56,1,1,2,5,1,2,3,3.6,3.3,2.4,3.12,0,1,0,0,0,0,0,0,1,1968,40,9618731.000000013,9413607.0,2008,14,18638297
1404,4,1713,72,2,1,4,4,1,3,2,2.7,2.4,4.9,3.23,0,1,0,1,0,0,0,0,0,1974,36,8308137.999999997,8237486.0,2010,12,14793341
3414,3,925,93,1,1,3,1,1,3,2,3.5,2.0,4.0,3.05,0,1,0,0,0,0,0,1,0,1994,20,8747820.000000006,8797288.0,2014,8,12997601
2855,2,601,196,1,1,2,2,1,3,3,2.3,2.5,3.5,2.94,0,1,0,0,0,0,0,0,1,1976,31,8932689.999999994,8308770.5,2007,15,17273337
2645,6,1941,113,2,1,5,3,1,2,1,3.1,3.8,3.7,3.515,0,1,0,0,0,0,1,0,0,1998,9,13766029.000000017,13481901.0,2007,15,28027903
5088,5,1825,152,3,2,5,2,1,3,3,3.0,3.2,4.7,3.74,0,0,1,0,0,0,1,0,0,1994,17,12168531.00000002,12096213.0,2011,11,20688629
6406,3,1050,157,1,1,3,3,0,3,1,2.8,2.9,4.0,3.2,0,1,0,0,0,0,0,1,0,1993,18,7974269.999999994,8067342.0,2011,11,13797892
5820,6,1556,120,1,1,4,3,0,2,1,4.2,2.8,4.6,4.01,1,0,0,0,0,0,0,0,1,2009,5,19310649.99999997,18991434.0,2014,8,28058997
1743,2,900,20,1,1,3,5,1,3,3,2.9,4.3,2.0,2.73,0,0,1,0,0,0,0,1,0,1971,36,10472807.00000001,10225627.0,2007,15,21258344
718,4,1782,88,2,1,4,4,1,3,1,3.7,2.1,4.2,3.13,0,0,1,0,0,0,0,0,1,2004,7,12196549.999999985,12142329.0,2011,11,20767503
6601,3,1039,39,1,1,3,2,0,1,1,4.5,2.8,2.4,3.19,0,0,1,0,0,0,1,0,0,1986,21,7602773.999999996,7583620.0,2007,15,15765801
2842,2,961,45,1,1,3,4,1,3,3,3.8,2.1,2.6,2.86,0,1,0,0,0,1,0,0,0,1988,20,8965697.999999993,8697865.0,2008,14,17221177
